,created_at,text,score
1,,1,0.0
2,2017-01-09 19:19:10,Barry Silbert Shares DGC’s Perspective on #Ethereum; Announces Etherscan Investment https://t.co/rjI9jdzoCR… https://t.co/YuQaNBMlpH,0.0
3,2017-01-10 09:23:52,イーサリアムの新構想「エンタープライズ版イーサリアム」がお披露目へ - https://t.co/WKl0nOH1v5 #ビットコイン https://t.co/CtspEZZYBP,-0.10000000149011612
4,2017-01-11 14:49:03,Qtum: Connecting #Blockchain Technology With the Commercial World https://t.co/KzqdKfWqEy #ethereum #fintech https://t.co/q9lqYMKcYb,0.20000000298023224
5,2017-01-12 21:31:59,Here’s Why India’s GBMiners Mining Pool Switched to Bitcoin Unlimited https://t.co/Js5ttRcVZy #bitcoin #india… https://t.co/Bq0KlNRg26,0.0
6,2017-01-13 23:49:33,Ethereum Classic Hard Forks; Diffuses ‘Difficulty Bomb’ https://t.co/eaeNBGOlH5 #ethereum #blockchain,0.699999988079071
7,2017-01-14 00:39:08,Feature Interview: North American Bitcoin Conference Organizer Moe Levin https://t.co/FQRI7s4BrN #TNABC #Bitcoin… https://t.co/yrz00GWdXx,0.10000000149011612
8,,1,0.0
9,2017-01-16 20:07:16,"Don Tapscott Predicts ""Blockchain Davos"" at World Economic Forum https://t.co/bnG5FjiHhN #blockchain #bitcoin… https://t.co/rx52ov17bm",0.0
10,2017-01-17 03:16:36,ビットコイン 今日の相場・戦略　2017年1月17日 - https://t.co/X5NOj6BMTc #ビットコイン https://t.co/duK95oyrFE,-0.30000001192092896
11,2017-01-18 09:24:44,米コインベース、NY州のビットライセンス取得＝３社目 - https://t.co/bvnTRa3QRX #ビットコイン https://t.co/AcLCkrAGC5,-0.30000001192092896
12,2017-01-19 04:59:56,ビットコイン 今日の相場・戦略　2017年1月19日 - https://t.co/5D2YxCWF7p #ビットコイン https://t.co/kJjgiVHvtM,-0.20000000298023224
13,2017-01-20 08:49:02,ブロックチェーンによる分散型の個人情報管理アプリ「uPort」、アルファリリースへ - https://t.co/kuTtOY4ueo #ビットコイン https://t.co/lgDjGbgh0r,-0.800000011920929
14,,1,0.0
15,,1,0.0
16,2017-01-23 11:38:43,Blockstream Releases Sidechain White Paper on Liquid and Strong Federations https://t.co/cwJ91H1dhr #Bitcoin… https://t.co/I9Q7mTkQMz,0.20000000298023224
17,2017-01-24 16:06:20,Western Union Settlement: A Cautionary Tale for #Bitcoin Money Transmitters - feat. Joe Ciccolo of @bitAML… https://t.co/yqTDJGHF2P,0.0
