,unique_date,id,created_at,text,fav,RT,date
2017-01-06,,8.174062128830546e+17,2017-01-06 16:23:22,PBOC Meets With Leading Chinese #Bitcoin Exchanges Amid Price Volatility https://t.co/9EV5VQaYGK #fintech… https://t.co/yNFHly1sYG,22.0,27.0,2017-01-06
2017-01-08,2017-01-08,,,,,,
2017-01-09,2017-01-09,8.185376189379584e+17,2017-01-09 19:19:10,Barry Silbert Shares DGC’s Perspective on #Ethereum; Announces Etherscan Investment https://t.co/rjI9jdzoCR… https://t.co/YuQaNBMlpH,26.0,32.0,2017-01-09
2017-01-10,2017-01-10,8.187501930886308e+17,2017-01-10 09:23:52,イーサリアムの新構想「エンタープライズ版イーサリアム」がお披露目へ - https://t.co/WKl0nOH1v5 #ビットコイン https://t.co/CtspEZZYBP,19.0,12.0,2017-01-10
2017-01-11,2017-01-11,8.191944151347569e+17,2017-01-11 14:49:03,Qtum: Connecting #Blockchain Technology With the Commercial World https://t.co/KzqdKfWqEy #ethereum #fintech https://t.co/q9lqYMKcYb,21.0,31.0,2017-01-11
2017-01-12,2017-01-12,8.19658206104404e+17,2017-01-12 21:31:59,Here’s Why India’s GBMiners Mining Pool Switched to Bitcoin Unlimited https://t.co/Js5ttRcVZy #bitcoin #india… https://t.co/Bq0KlNRg26,29.0,16.0,2017-01-12
2017-01-13,2017-01-13,8.200552152232428e+17,2017-01-13 23:49:33,Ethereum Classic Hard Forks; Diffuses ‘Difficulty Bomb’ https://t.co/eaeNBGOlH5 #ethereum #blockchain,23.0,25.0,2017-01-13
2017-01-14,2017-01-14,8.200676915622339e+17,2017-01-14 00:39:08,Feature Interview: North American Bitcoin Conference Organizer Moe Levin https://t.co/FQRI7s4BrN #TNABC #Bitcoin… https://t.co/yrz00GWdXx,18.0,21.0,2017-01-14
2017-01-15,2017-01-15,,,,,,
2017-01-16,2017-01-16,8.210864382887199e+17,2017-01-16 20:07:16,"Don Tapscott Predicts ""Blockchain Davos"" at World Economic Forum https://t.co/bnG5FjiHhN #blockchain #bitcoin… https://t.co/rx52ov17bm",37.0,55.0,2017-01-16
2017-01-17,2017-01-17,8.2119448260753e+17,2017-01-17 03:16:36,ビットコイン 今日の相場・戦略　2017年1月17日 - https://t.co/X5NOj6BMTc #ビットコイン https://t.co/duK95oyrFE,4.0,2.0,2017-01-17
2017-01-18,2017-01-18,8.216495147464827e+17,2017-01-18 09:24:44,米コインベース、NY州のビットライセンス取得＝３社目 - https://t.co/bvnTRa3QRX #ビットコイン https://t.co/AcLCkrAGC5,9.0,8.0,2017-01-18
2017-01-19,2017-01-19,8.219452633548063e+17,2017-01-19 04:59:56,ビットコイン 今日の相場・戦略　2017年1月19日 - https://t.co/5D2YxCWF7p #ビットコイン https://t.co/kJjgiVHvtM,4.0,2.0,2017-01-19
2017-01-20,2017-01-20,8.223653063497646e+17,2017-01-20 08:49:02,ブロックチェーンによる分散型の個人情報管理アプリ「uPort」、アルファリリースへ - https://t.co/kuTtOY4ueo #ビットコイン https://t.co/lgDjGbgh0r,25.0,12.0,2017-01-20
2017-01-21,2017-01-21,,,,,,
2017-01-22,2017-01-22,,,,,,
2017-01-23,2017-01-23,8.234951740430828e+17,2017-01-23 11:38:43,Blockstream Releases Sidechain White Paper on Liquid and Strong Federations https://t.co/cwJ91H1dhr #Bitcoin… https://t.co/I9Q7mTkQMz,35.0,25.0,2017-01-23
2017-01-24,2017-01-24,8.239249078809723e+17,2017-01-24 16:06:20,Western Union Settlement: A Cautionary Tale for #Bitcoin Money Transmitters - feat. Joe Ciccolo of @bitAML… https://t.co/yqTDJGHF2P,22.0,20.0,2017-01-24
2017-01-25,2017-01-25,8.243715538445599e+17,2017-01-25 21:41:09,"Third Bitcoin ETF Filed With SEC, but Will They Actually Become Reality? https://t.co/qaHsWoC9Uv  #bitcoin #fintech… https://t.co/XW1noeDQr2",22.0,22.0,2017-01-25
2017-01-26,2017-01-26,8.24649979277013e+17,2017-01-26 16:07:30,"Stricter #Bitcoin Regulation, Ban on Mixers Recommended at Interpol, Europol Conference https://t.co/YFEQmwy7jU… https://t.co/Zmd0vornnT",18.0,29.0,2017-01-26
2017-01-27,2017-01-27,8.250200290706145e+17,2017-01-27 16:37:57,How Bitcoin Unlimited Users May End Up on Different Blockchains https://t.co/A5F2ZdXsH3 #bitcoin #blockchain… https://t.co/YejTJ2ys9O,73.0,76.0,2017-01-27
2017-01-28,2017-01-28,,,,,,
2017-01-29,2017-01-29,,,,,,
2017-01-30,2017-01-30,8.260250436708884e+17,2017-01-30 11:11:31,シスコ、BNYメロン、ボッシュなど「IoT」への活用狙うブロックチェーンコンソーシアムを組成 - https://t.co/ScBggUxbWy #ビットコイン https://t.co/yySAyqeV4a,6.0,3.0,2017-01-30
2017-01-31,2017-01-31,8.265235356948234e+17,2017-01-31 20:12:21,P2P Talent Marketplace ChronoBank Adds Changelly https://t.co/dVoiuc6U0k #P2P #Jobs @ChronobankNews #fintech https://t.co/m30yiaS84O,9.0,13.0,2017-01-31
2017-02-01,2017-02-01,8.268632099026534e+17,2017-02-01 18:42:06,Why Bitcoin Unlimited’s “Emergent Consensus” Is a Gamble https://t.co/vTdO6vlnoP #bitcoin #blockchain #technology https://t.co/wg1eZWC1CD,56.0,61.0,2017-02-01
2017-02-02,2017-02-02,8.270316286186906e+17,2017-02-02 05:51:20,ビットコイン 今日の相場・戦略　2017年2月2日 - https://t.co/Ul4hl1fjnw #ビットコイン https://t.co/w1xd0VEUgD,10.0,5.0,2017-02-02
2017-02-03,2017-02-03,8.274638158350254e+17,2017-02-03 10:28:41,.@Daimler Financial Services Acquires #Bitcoin Operator PayCash Europe to Launch Mobility Service “#Mercedes Pay”… https://t.co/E4NVZZJCNZ,14.0,10.0,2017-02-03
2017-02-04,2017-02-04,,,,,,
2017-02-05,2017-02-05,,,,,,
2017-02-06,2017-02-06,8.287204695872184e+17,2017-02-06 21:42:11,Bitcoin Exempt from UAE Central Bank’s Ban on Virtual Currencies https://t.co/zUUaZotbaQ #bitcoin #fintech #UAE… https://t.co/WzGXsxnIMt,49.0,45.0,2017-02-06
2017-02-07,2017-02-07,8.290215194812867e+17,2017-02-07 17:38:27,".@Shoptalk, Shoptalk Final Agenda Released, Ticket Prices Go Up On Friday! Click here to get your ticket: https://t.co/owpVx5kZiU #fintech",6.0,12.0,2017-02-07
2017-02-08,2017-02-08,8.292952947979715e+17,2017-02-08 11:46:20,Venezuela Seems to Be Cracking Down on Bitcoin https://t.co/cxidRWmlge #Bitcoin #Venezuela @CriptoNoticias… https://t.co/1UjPyHQOfk,19.0,31.0,2017-02-08
2017-02-09,2017-02-09,8.29498992845267e+17,2017-02-09 01:15:45,"Bitfury, Republic of Georgia Push Ahead With #Blockchain Land-Titling Project https://t.co/VF8gKWC0v6 @BitFuryGroup… https://t.co/38Lh2rYPsj",8.0,7.0,2017-02-09
2017-02-10,2017-02-10,8.301684262115901e+17,2017-02-10 21:35:51,"Better Bitcoin Privacy, Scalability: Developers Making TumbleBit a Reality https://t.co/Qd4Jsu1KJa #bitcoin… https://t.co/ipDMXsyjCB",49.0,44.0,2017-02-10
2017-02-11,2017-02-11,8.30431203257942e+17,2017-02-11 15:00:02,ICYMI: Capital Controls and Ponzi Schemes: How #Nigeria Is Discovering Bitcoin https://t.co/WNfu13aCcE #bitcoin https://t.co/8Nyh15wwRZ,51.0,15.0,2017-02-11
2017-02-12,2017-02-12,8.306199436076646e+17,2017-02-12 03:30:01,"ICYMI: Better Bitcoin Privacy, Scalability: Developers Making TumbleBit a Reality https://t.co/Qd4Jsu1KJa #bitcoin… https://t.co/EQ2OU07V9Y",34.0,28.0,2017-02-12
