id,created_at,text,fav,RT
920061575729266688,2017-10-16 22:59:08,【「ビットコインをゼロから理解する」シリーズの最終章】ビットコインをゼロから理解する 〜最終章：ビットコインの課題と今後〜 https://t.co/PPeULcDgIT via @Cointelegraph,18,1
920041085476524034,2017-10-16 21:37:42,"【10/17：本日のBitcoin（BTC）相場】＜4本値＞始値：¥ 632 538高値：¥ 666 797低値：¥ 624 635終値：¥ 641 890＜時価総額＞¥ 10,700,000,000,000＜詳細＞https://t.co/T5EUfhHT4x",1,0
919696446756093953,2017-10-15 22:48:14,７つの大手グローバル銀行：ブロックチェーンをベースとしたシンジケートローンマーケットプレイスの開発のために、フィンテック企業と提携を結ぶ。 https://t.co/K8OFbTNWAW,1,1
919696445040717824,2017-10-15 22:48:14,中国人投資家：政府はビットコインについて何もわかっていない https://t.co/Au4lutrVuC,6,12
919696442440273922,2017-10-15 22:48:13,エキスパートブログ:もしも米ドルが仮想通貨だったら？ https://t.co/qjitSExD7v,12,14
919694018182758400,2017-10-15 22:38:35,"【10/16：本日のBitcoin（BTC）相場】＜4本値＞始値：¥ 652 510高値：¥ 676 999低値：¥ 618 884終値：¥ 639 131＜時価総額＞¥ 10,600,000,000,000＜詳細＞https://t.co/T5EUfhZtW5",0,0
918956981473370112,2017-10-13 21:49:52,"【10/14：本日のBitcoin（BTC）相場】＜4本値＞始値：¥ 600,192高値：¥ 682,411低値：¥ 596,846終値：¥ 643,888＜時価総額＞¥ 10,700,000,000,000＜詳細＞https://t.co/T5EUfhZtW5",0,1
918954376462589952,2017-10-13 21:39:31,ブロックチェーンによりメディアは分散化 https://t.co/D7UPeugLHH,9,5
918613466616877056,2017-10-12 23:04:52,【速報】お前がなんと言おうが関係ない！JPモルガンCEOはビットコインについて語ることをやめるとのこと https://t.co/CQMH8mNxLX,5,2
918613463752232960,2017-10-12 23:04:51,トランプ政権：ブロックチェーン技術の採用にフォーカス https://t.co/ETYUwQuwY3,2,1
918613460870721536,2017-10-12 23:04:50,"シンガポール：19,000人の銀行口座を持たない移民のためのブロックチェーン決済をテスト https://t.co/AF6M1MpM6u",15,11
918613456575778816,2017-10-12 23:04:49,マレーシア中央銀行、仮想通貨の規制決定に近づく https://t.co/xUpzHqJ5Lu,0,1
918607767115403275,2017-10-12 22:42:13,"【10/13：本日のBitcoin（BTC）相場】＜4本値＞始値：¥ 547,056高値：¥ 615,100低値：¥ 539,492終値：¥ 604,776＜時価総額＞¥ 10,100,000,000,000＜詳細＞https://t.co/T5EUfhZtW5",0,0
918250925667516423,2017-10-11 23:04:15,CoinbaseとBitfinexがSegWit2Xのハードフォークに際してガイダンスを発表 https://t.co/S1Knwlg30e,8,12
