id,created_at,text,fav,RT
952069832253562880,2018-01-13 06:48:31,Price of 1 BCH to USD: $2642.09 (Change: +1.11 %)Price of 1 BCH to BTC: 0.184701 Ƀ (Change: +1.24 %)#bitcoincash #bch $bch,1,1
952052907263787008,2018-01-13 05:41:16,Price of 1 BCH to USD: $2613.03 (Change: +0.34 %)Price of 1 BCH to BTC: 0.182436 Ƀ (Change: -0.03 %)#bitcoincash #bch $bch,0,0
952035860169547776,2018-01-13 04:33:31,Price of 1 BCH to USD: $2604.18 (Change: +0.43 %)Price of 1 BCH to BTC: 0.182488 Ƀ (Change: -0.34 %)#bitcoincash #bch $bch,1,0
952019495593398272,2018-01-13 03:28:30,Price of 1 BCH to USD: $2592.92 (Change: -0.68 %)Price of 1 BCH to BTC: 0.183107 Ƀ (Change: +0.24 %)#bitcoincash #bch $bch,0,0
952003377524813829,2018-01-13 02:24:27,Price of 1 BCH to USD: $2610.63 (Change: -0.56 %)Price of 1 BCH to BTC: 0.182666 Ƀ (Change: -0.68 %)#bitcoincash #bch $bch,1,0
951987372190765057,2018-01-13 01:20:51,Price of 1 BCH to USD: $2625.37 (Change: +0.25 %)Price of 1 BCH to BTC: 0.183916 Ƀ (Change: -1.69 %)#bitcoincash #bch $bch,0,0
951971325362483200,2018-01-13 00:17:05,Price of 1 BCH to USD: $2618.72 (Change: +0.26 %)Price of 1 BCH to BTC: 0.187083 Ƀ (Change: -0.58 %)#bitcoincash #bch $bch,0,0
951937456215126022,2018-01-12 22:02:30,Price of 1 BCH to USD: $2611.92 (Change: +0.1 %)Price of 1 BCH to BTC: 0.188167 Ƀ (Change: +0.76 %)#bitcoincash #bch $bch,1,0
951922390497419264,2018-01-12 21:02:38,Price of 1 BCH to USD: $2609.21 (Change: +0.79 %)Price of 1 BCH to BTC: 0.186754 Ƀ (Change: +0.09 %)#bitcoincash #bch $bch,1,1
951910784887640064,2018-01-12 20:16:31,Price of 1 BCH to USD: $2588.69 (Change: +2.07 %)Price of 1 BCH to BTC: 0.186592 Ƀ (Change: +0.04 %)#bitcoincash #bch $bch,1,1
951894050315137024,2018-01-12 19:10:01,Price of 1 BCH to USD: $2536.17 (Change: -1.22 %)Price of 1 BCH to BTC: 0.186525 Ƀ (Change: -0.09 %)#bitcoincash #bch $bch,0,0
951876977950167042,2018-01-12 18:02:11,Price of 1 BCH to USD: $2567.46 (Change: +0.32 %)Price of 1 BCH to BTC: 0.186696 Ƀ (Change: -0.33 %)#bitcoincash #bch $bch,1,0
951864311718252544,2018-01-12 17:11:51,Price of 1 BCH to USD: $2559.23 (Change: +0.38 %)Price of 1 BCH to BTC: 0.187307 Ƀ (Change: -0.35 %)#bitcoincash #bch $bch,0,0
951854491061686273,2018-01-12 16:32:49,Price of 1 BCH to USD: $2549.63 (Change: -2.6 %)Price of 1 BCH to BTC: 0.187965 Ƀ (Change: +1.06 %)#bitcoincash #bch $bch,2,0
951831671325814786,2018-01-12 15:02:09,Price of 1 BCH to USD: $2617.67 (Change: +0.91 %)Price of 1 BCH to BTC: 0.185994 Ƀ (Change: +0.47 %)#bitcoincash #bch $bch,1,0
951816550457249793,2018-01-12 14:02:04,Price of 1 BCH to USD: $2594.13 (Change: +0.06 %)Price of 1 BCH to BTC: 0.185118 Ƀ (Change: +1.36 %)#bitcoincash #bch $bch,1,0
951801509263630336,2018-01-12 13:02:18,Price of 1 BCH to USD: $2592.54 (Change: +0.35 %)Price of 1 BCH to BTC: 0.18264 Ƀ (Change: +0.17 %)#bitcoincash #bch $bch,0,0
951786301241679873,2018-01-12 12:01:52,Price of 1 BCH to USD: $2583.52 (Change: +0.23 %)Price of 1 BCH to BTC: 0.182335 Ƀ (Change: -0.17 %)#bitcoincash #bch $bch,2,1
951771250908631040,2018-01-12 11:02:03,Price of 1 BCH to USD: $2577.56 (Change: +2.45 %)Price of 1 BCH to BTC: 0.182652 Ƀ (Change: -0.28 %)#bitcoincash #bch $bch,0,0
951756176227799040,2018-01-12 10:02:09,Price of 1 BCH to USD: $2516.02 (Change: -0.32 %)Price of 1 BCH to BTC: 0.183172 Ƀ (Change: +0.19 %)#bitcoincash #bch $bch,0,0
951741115287392257,2018-01-12 09:02:19,Price of 1 BCH to USD: $2524.06 (Change: -1.13 %)Price of 1 BCH to BTC: 0.182816 Ƀ (Change: -0.94 %)#bitcoincash #bch $bch,0,0
951725980359581697,2018-01-12 08:02:10,Price of 1 BCH to USD: $2552.99 (Change: -0.33 %)Price of 1 BCH to BTC: 0.184549 Ƀ (Change: +0.14 %)#bitcoincash #bch $bch,0,0
951714541641052160,2018-01-12 07:16:43,Price of 1 BCH to USD: $2561.48 (Change: -0.42 %)Price of 1 BCH to BTC: 0.184287 Ƀ (Change: -1.12 %)#bitcoincash #bch $bch,2,0
951697818057572353,2018-01-12 06:10:16,Price of 1 BCH to USD: $2572.4 (Change: +1.26 %)Price of 1 BCH to BTC: 0.186375 Ƀ (Change: +0.83 %)#bitcoincash #bch $bch,0,1
951680824667267072,2018-01-12 05:02:44,Price of 1 BCH to USD: $2540.43 (Change: +0.14 %)Price of 1 BCH to BTC: 0.184842 Ƀ (Change: +0.53 %)#bitcoincash #bch $bch,1,0
