id,created_at,text,fav,RT
949120252947738626,2018-01-05 03:27:56,第21回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,6,0
947003040514453505,2017-12-30 07:14:53,はてなブログに投稿しましたビットコインの最適な取引手数料を決める方法 - ビットコインの情報サイトの運営者ブログ https://t.co/WxvKN1cEWU #はてなブログ,20,6
936827299134980096,2017-12-02 05:20:08,第20回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,7,0
928163155376726016,2017-11-08 07:31:55,はてなブログに投稿しましたElectrum3.0系でP2SHのSegwitウォレットを管理する方法 - ビットコインの情報サイトの運営者ブログ https://t.co/9sIxUscWYv #はてなブログ,12,6
925997798582992896,2017-11-02 08:07:34,第19回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください,6,0
922522582523420672,2017-10-23 17:58:17,はてなブログに投稿しましたBitcoin Goldのようなハードフォークコインを無視すべき理由 - ビットコインの情報サイトの運営者ブログ https://t.co/Fh4AIxlzN0 #はてなブログ,125,58
920260946668298246,2017-10-17 12:11:21,はてなブログに投稿しました10月15日のCounterpartyのアップデートの内容は？ - ビットコインの情報サイトの運営者ブログ https://t.co/ZbjXaV7K2M #はてなブログ,19,4
918415938868846592,2017-10-12 09:59:57,はてなブログに投稿しましたSegwitアドレスについて復習 - ビットコインの情報サイトの運営者ブログ https://t.co/95mJ7KofZ6 #はてなブログ,26,16
914738003121246208,2017-10-02 06:25:09,第18回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,2,0
914371160678248448,2017-10-01 06:07:27,10月1日時点で停止している中国取引所を除外しました。海外取引所をいくつか追加し、通貨別の過去24時間出来高の円グラフを追加しました。https://t.co/5eaw4WkNFq,29,16
914010982887833600,2017-09-30 06:16:14,はてなブログに投稿しました技術に興味がある上級者向けの情報収集法～ビットコインはここが面白い - ビットコインの情報サイトの運営者ブログ https://t.co/aImfrefWTh #はてなブログ,53,21
913301859087007745,2017-09-28 07:18:26,通貨別の月次取引高のページに2014年からのKRW(韓国ウォン)のデータを追加しました。https://t.co/Rub8cg4Ybf,19,5
903977122208694273,2017-09-02 13:45:15,はてなブログに投稿しました【独自トークン】Waves上にもトークンを作りました - ビットコインの情報サイトの運営者ブログ https://t.co/IVis3GKnhG #はてなブログ,22,8
903974554988560384,2017-09-02 13:35:03,第17回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,4,0
894836996098596865,2017-08-08 08:25:39,はてなブログに投稿しましたArdorとその子チェーンIgnisとICOについて - ビットコインの情報サイトの運営者ブログ https://t.co/Pu1ubg2akM #はてなブログ,25,6
892699663073030144,2017-08-02 10:52:39,はてなブログに投稿しましたBitcoin Cashの状況とウォレット対応のまとめ - ビットコインの情報サイトの運営者ブログ https://t.co/GRyxMGWSki #はてなブログ,36,18
892639801471492096,2017-08-02 06:54:47,第16回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
887220543753117702,2017-07-18 08:00:36,はてなブログに投稿しましたSegwit/フォーク問題の簡単なまとめと私見 - ビットコインの情報サイトの運営者ブログ https://t.co/XngxQWQ9ai #はてなブログ,57,33
881384714094772224,2017-07-02 05:31:05,第15回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,3,0
879304970654236673,2017-06-26 11:46:56,はてなブログに投稿しましたひそかに大きな仕様変更があったSteemは今後どうなる？ - ビットコインの情報サイトの運営者ブログ https://t.co/FsSAL1AQI7 #はてなブログ,17,11
874617703389999105,2017-06-13 13:21:24,はてなブログに投稿しました（元々そんなに安全なウォレットではないけど）Jaxxの「脆弱性」はそんなに深刻ではないよという話 - ビットコインの情報サイトの運営者ブログ https://t.co/wAbinvMb0P #はてなブログ,20,11
874261362129555460,2017-06-12 13:45:26,はてなブログに投稿しましたブロックチェーンに変わる新技術？DAGとは - ビットコインの情報サイトの運営者ブログ https://t.co/84BeKZdLT2 #はてなブログ,111,50
870534035851812864,2017-06-02 06:54:22,第14回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,3,0
869764772064919553,2017-05-31 03:57:35,はてなブログに投稿しましたWavesの近況 - ビットコインの情報サイトの運営者ブログ https://t.co/yViLQXklZO #はてなブログ,18,4
869211879339577344,2017-05-29 15:20:35,ビットコインの単位換算のページを作成しました。https://t.co/p32bcYDa55,47,16
869111143293308928,2017-05-29 08:40:18,ウォレットのセキュリティhttps://t.co/Pqfi5BuGj0,19,9
861860187673677824,2017-05-09 08:27:35,本日11:30～11:50の国内平均価格のチャート価格に異常がみられていたため、先ほど当該時間帯のみ再計算を行い修正しました。,3,1
859309278330408960,2017-05-02 07:31:11,第13回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,0,0
858217788745306112,2017-04-29 07:14:00,はてなブログに投稿しましたElectrumサーバーを建ててみた - ビットコインの情報サイトの運営者ブログ https://t.co/Z6cVPp786m #はてなブログ,7,1
850707553776394242,2017-04-08 13:51:00,はてなブログに投稿しましたSegwit有効化に向けて前進する？ASICBOOSTとその対策提案について - ビットコインの情報サイトの運営者ブログ https://t.co/yIEW5QddwJ #はてなブログ,23,17
848465722246287360,2017-04-02 09:22:46,第12回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,2,0
840840099780677634,2017-03-12 08:21:16,はてなブログに投稿しましたBitcoin UnlimitedとCoreの対立について - ビットコインの情報サイトの運営者ブログ https://t.co/uo9K8nsmcj #はてなブログ,35,21
837971619091927040,2017-03-04 10:22:57,はてなブログに投稿しましたSegwitを採用する(予定の)アルトコインを調べてみた - ビットコインの情報サイトの運営者ブログ https://t.co/PvN2D3mZLy #はてなブログ,14,16
837575748609175552,2017-03-03 08:09:54,はてなブログに投稿しましたNEMのNamespaceのレンタル期間を更新してみた - ビットコインの情報サイトの運営者ブログ https://t.co/pv0Tfs2uKg #はてなブログ,15,6
837196263808344068,2017-03-02 07:01:58,第11回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,1
834678236156096512,2017-02-23 08:16:13,はてなブログに投稿しましたトランザクションがなかなか確認されないときの4つの解決策 - ビットコインの情報サイトの運営者ブログ https://t.co/fXyf23oNDG #はてなブログ,26,17
832925462569512965,2017-02-18 12:11:19,はてなブログに投稿しましたシングルボードコンピュータでビットコインのフルノードを構築してみた - ビットコインの情報サイトの運営者ブログ https://t.co/9dBrFSj3Gb #はてなブログ,22,5
830798500610781184,2017-02-12 15:19:32,はてなブログに投稿しましたビットコインのフルノードとは？定義と役割・メリット - ビットコインの情報サイトの運営者ブログ https://t.co/2VmL0cZTmA #はてなブログ,5,4
830685857673666560,2017-02-12 07:51:56,はてなブログに投稿しました【独自トークン】初配当を実施しました。（独自トークンプラットフォームの配当機能について） - ビットコインの情報サイトの運営者ブログ https://t.co/WctvPTikZq #はてなブログ,10,2
830402951826911234,2017-02-11 13:07:46,当日のローソク足を表示するように修正しました。ページ下部に取引通貨別の価格チャートを追記しました。https://t.co/F28D1G6R51,0,1
830402717117931521,2017-02-11 13:06:50,bitcoinchartsの設定を保存できるようにしました。モバイルでの表示レイアウトは変わらず崩れてしまっていてすみません。https://t.co/nGauGEpQsY,1,0
827107675561275392,2017-02-02 10:53:31,第10回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,0,0
826406105865613312,2017-01-31 12:25:44,はてなブログに投稿しましたBitSharesの近況 - ビットコインの情報サイトの運営者ブログ https://t.co/CeWZeXZbx7 #はてなブログ,7,5
821736082194604034,2017-01-18 15:08:43,はてなブログに投稿しましたビットコインの取引手数料の仕様を詳しくまとめてみる - ビットコインの情報サイトの運営者ブログ https://t.co/kpWvYXYJhz #はてなブログ,18,8
819110186036011010,2017-01-11 09:14:21,はてなブログに投稿しました #はてなブログビットコイン価格を計量分析して各種価格データとの相関関係を考察してみた - ビットコインの情報サイトの運営者ブログhttps://t.co/0FEusNdHAo https://t.co/AvmZ3hrhaC,43,14
817391402749280256,2017-01-06 15:24:31,bitFlyer FXの値動き&amp;価格の現物市場との乖離が最近大きくなっている状況を鑑みて、そもそもFXは現物との直接的な繋がりがない独立した市場であることから、0:00より当サイトに表示している国内平均価格の計算から除外しました。https://t.co/N9Y5Jz82cE,9,5
816920193251147776,2017-01-05 08:12:06,第9回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
813782669880422401,2016-12-27 16:24:42,はてなブログに投稿しました #はてなブログUTXOと残高の話（ビットコインとイーサリアムの台帳管理システムの根本的違い） - ビットコインの情報サイトの運営者ブログhttps://t.co/nodBoQJNfQ,28,14
813340921865510912,2016-12-26 11:09:21,https://t.co/8seM7t95isのウォレットに関するご質問の問い合わせやコメントが非常に多いので新しくページを作成し、まとめました。https://t.co/b0wGxlQtjb,7,2
809355531584438276,2016-12-15 11:12:50,https://t.co/tJMZIilrIeウォレットページを微修正しました。Circleは新規登録者の利用ができなくなっているため削除しました。Armoryはhttps://t.co/csrTaSC6P9に再掲載されていますが最新版の動作が不安定なので引き続き様子見中です。,5,2
804948964017475584,2016-12-03 07:22:42,第8回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,0,0
803579852062269441,2016-11-29 12:42:21,はてなブログに投稿しました #はてなブログ仮想通貨関連の情報源まとめ（ビットコインデータ編） - ビットコインの情報サイトの運営者ブログhttps://t.co/AmERtfU7DA,14,8
798859288634486784,2016-11-16 12:04:31,はてなブログに投稿しました #はてなブログSegwitとソフトフォークについて考える - ビットコインの情報サイトの運営者ブログhttps://t.co/F1Tt9Tarqx,15,8
793755146828210176,2016-11-02 10:02:28,第7回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,2
791922561458196480,2016-10-28 08:40:26,はてなブログに投稿しました #はてなブログElectrum2.7系で実装されたビットコインの「opt-in RBF」とは何か - ビットコインの情報サイトの運営者ブログhttps://t.co/QHqGK3q93r,3,2
788663516462850048,2016-10-19 08:50:09,はてなブログに投稿しました #はてなブログ「良い」ハードフォークと「悪い」ハードフォーク - ビットコインの情報サイトの運営者ブログhttps://t.co/NC2UenrXkB,13,8
783312445259460609,2016-10-04 14:26:54,はてなブログに投稿しました #はてなブログThe DAOトークンからETH(ETC)への変換方法総まとめ - ビットコインの情報サイトの運営者ブログhttps://t.co/NJY7Qubtjl,3,1
782483664437321728,2016-10-02 07:33:38,第6回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,2,0
781491336482435072,2016-09-29 13:50:28,はてなブログに投稿しました #はてなブログイーサリアムのおすすめPC用ウォレット（2016年9月時点） - ビットコインの情報サイトの運営者ブログhttps://t.co/x9SzxVYtJe,12,0
779247730904358913,2016-09-23 09:15:11,はてなブログに投稿しました #はてなブログ最近よくある仮想通貨の投資話からICOについて改めて考えてみる - ビットコインの情報サイトの運営者ブログhttps://t.co/F1eSC8oUxk,22,12
774878295074623488,2016-09-11 07:52:36,はてなブログに投稿しました #はてなブログSegwitの次の可能性（シュノア署名・MAST） - ビットコインの情報サイトの運営者ブログhttps://t.co/sebW3Sv28p,16,9
771665156245827586,2016-09-02 11:04:44,第5回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
770173015245979648,2016-08-29 08:15:30,Moneroのページを作成しました。Monero / モネロ - アルトコインhttps://t.co/RYbp6szrH5,11,6
767737101706080257,2016-08-22 14:56:03,はてなブログに投稿しましたhttps://t.co/csrTaSkvqzに警告文が掲載、Bitcoin Coreが改ざんされていないか検証する方法 - ビットコインの情報サイトの運営者ブログ https://t.co/gYw6eN8qR5 #はてなブログ,10,5
765566705665835010,2016-08-16 15:11:40,はてなブログに投稿しましたThe DAO事件から考えるパブリックなスマートコントラクトプラットフォームの未来 - ビットコインの情報サイトの運営者ブログ https://t.co/fQd2lTOFu2 #はてなブログ,16,9
762184669303410688,2016-08-07 07:12:40,はてなブログに投稿しました半減期後にビットコインの価格が下落してマイナーの採算が取れなくなったらどうなる？ - ビットコインの情報サイトの運営者ブログ https://t.co/xPFSBJNT2T #はてなブログ,23,11
760441987581423616,2016-08-02 11:47:52,第4回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
757901487104155649,2016-07-26 11:32:50,はてなブログに投稿しましたEthereum ClassicのReplay Attackとは何か？ - ビットコインの情報サイトの運営者ブログ https://t.co/enUvcOjmmA #はてなブログ,13,10
757577209053753344,2016-07-25 14:04:16,はてなブログに投稿しましたSteemの長所と懸念を考察する - ビットコインの情報サイトの運営者ブログ https://t.co/owlvD6DpMX #はてなブログ,5,6
756110303448805376,2016-07-21 12:55:18,クラウドセール期間後半に100DAO=1ETHよりも高い価格で購入した人は、今後購入価格でETHが返却される計画があるらしいので追記しておきました。https://t.co/2PwSVPcWIJ,5,3
756096146209026048,2016-07-21 11:59:03,はてなブログに投稿しましたイーサリアムのハードフォークが成功、The DAO内のETHは返却へ - ビットコインの情報サイトの運営者ブログ https://t.co/2PwSVPcWIJ #はてなブログ,7,6
753255500490211328,2016-07-13 15:51:20,はてなブログに投稿しましたSteemの短期的暴騰は必然だった？複雑な供給量の仕組みと流動性について - ビットコインの情報サイトの運営者ブログ https://t.co/K0ncMn3RPs #はてなブログ,20,10
751048674654842880,2016-07-07 13:42:12,はてなブログに投稿しましたArdorことNxt2.0について改めてまとめてみる - ビットコインの情報サイトの運営者ブログ https://t.co/6ZZoLKaOf6 #はてなブログ,14,6
749560735198437377,2016-07-03 11:09:40,第3回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
748010614858059776,2016-06-29 04:30:02,はてなブログに投稿しましたThe DAO事件の続々報、Ethereumのソフトフォークのコードに脆弱性が発見され先行き不透明に - ビットコインの情報サイトの運営者ブログ https://t.co/vRSlHcEC94 #はてなブログ,15,10
747022596529520641,2016-06-26 11:04:00,はてなブログに投稿しましたThe DAO事件の続報、ソフトフォークによりETHは全額取り戻せる？ - ビットコインの情報サイトの運営者ブログ https://t.co/RXV6qavrsC #はてなブログ,7,2
743816433180676100,2016-06-17 14:43:51,はてなブログに投稿しましたThe DAOへの攻撃によりETH採掘者たちに突然突き付けられた決断 - ビットコインの情報サイトの運営者ブログ https://t.co/uJbVIQzYWW #はてなブログ,18,14
743004542665560064,2016-06-15 08:57:41,はてなブログに投稿しましたWavesはNxt1.0からどう変わるのか - ビットコインの情報サイトの運営者ブログ https://t.co/zOk746aw7d #はてなブログ,3,2
740907723282227201,2016-06-09 14:05:41,はてなブログに投稿しました半減期前後の価格はどうなる？過去の事例まとめ - ビットコインの情報サイトの運営者ブログ https://t.co/1CbrVdaK2e #はてなブログ,13,10
738298285274726401,2016-06-02 09:16:42,はてなブログに投稿しましたWaves誕生のきっかけとなった？Nxt2.0計画の概要について - ビットコインの情報サイトの運営者ブログ https://t.co/c2KnvkoIlZ #はてなブログ,4,2
738296319530303489,2016-06-02 09:08:54,第2回のメールマガジンを配信しました。届いていない方は迷惑メールやプロモーションタブなどをご確認ください。,1,0
737230515468705792,2016-05-30 10:33:46,はてなブログに投稿しました「IOU」という用語について考えてみる - ビットコインの情報サイトの運営者ブログ https://t.co/OLLi6C4fZ5 #はてなブログ,4,1
734729954240274432,2016-05-23 12:57:26,はてなブログに投稿しましたLiskとEthereumの違い - ビットコインの情報サイトの運営者ブログ https://t.co/gUZbfJeqDp #はてなブログ,19,8
734298751540465665,2016-05-22 08:23:59,はてなブログに投稿しましたビットコインウォレットのパスフレーズの互換性の話（簡単なHDウォレットの仕組み） - ビットコインの情報サイトの運営者ブログ https://t.co/t5Zj7YZLDe #はてなブログ,12,4
732806697257971713,2016-05-18 05:35:06,はてなブログに投稿しましたLiskのDPOSとBitSharesのDPOSの違い - ビットコインの情報サイトの運営者ブログ https://t.co/B3Tn2DlC0i #はてなブログ,9,3
732394127480905729,2016-05-17 02:15:41,世界の主なビットコインが使えるお店https://t.co/2NglA9zRtD,0,0
729924691532505088,2016-05-10 06:43:02,はてなブログに投稿しましたBitShares創設者が開発したブロックチェーンベースのソーシャルメディアSteemとは？ - ビットコインの情報サイトの運営者ブログ https://t.co/5qOyxNeoPy #はてなブログ,6,1
728926904263188481,2016-05-07 12:38:11,はてなブログに投稿しましたEthereumの公式ウォレットMistの秘密鍵をペーパーウォレットとしてバックアップする方法＆秘密鍵をMistにインポートする方法 - ビットコインの情報サイトの運営者ブログ https://t.co/76blYujIgE #はてなブログ,5,0
728489641997799424,2016-05-06 07:40:39,はてなブログに投稿しましたThe DAOの購入方法とそれぞれのリスクについて考えてみる - ビットコインの情報サイトの運営者ブログ https://t.co/rCIFhFAZeO #はてなブログ,9,3
727139265373556736,2016-05-02 14:14:45,はてなブログに投稿しましたEthereum上のトークンThe DAOをMyEtherWalletから買ってみた - ビットコインの情報サイトの運営者ブログ https://t.co/GIqvhstc6Y #はてなブログ,6,3
727111187800805376,2016-05-02 12:23:10,バージョンアップのお知らせなどをまとめたメールマガジンなので、時期によっては古くなってしまうかもしれませんが、今後の新規登録者には手動で最新のメールマガジンをお送りします。,0,0
727110565022171136,2016-05-02 12:20:42,登録者宛に第1回のメールマガジンを配信しました。届いていない方は迷惑メールに入っていないかご確認ください。,0,0
