id,created_at,text,fav,RT
951334118633164800,2018-01-11 06:05:03,メルカリ、仮想通貨交換業登録を年内にもhttps://t.co/TjbTMHixyE,46,24
950520016587444224,2018-01-09 00:10:06,『仮想通貨の税金』を元国税がホンネで語る！https://t.co/all2NgfnEz,35,15
950297296402571264,2018-01-08 09:25:05,仮想通貨の税金計算をサポート、取引履歴から売買損益を算出できる「G-tax」ベータ版公開https://t.co/I5PQOWHiMc,49,8
950157616776441856,2018-01-08 00:10:03,【全文和訳掲載】マーク・ザッカーバーグ「仮想通貨は権力を人々の手に戻す、フェイスブックでの活用方法探る」新年の抱負で言及https://t.co/u1JY4TB852,39,7
948409849003499520,2018-01-03 04:25:03,2017年ビットコイン価格の振り返り！来年は上昇or下降どうなる？ https://t.co/6nvKA2L1Ww,8,3
901763478951649280,2017-08-27 11:09:01,アルトコインをマイニングする方法や流れを紹介【MINERGATE活用術】 https://t.co/egjoBuLwky,31,17
858266378066722817,2017-04-29 10:27:05,イーサリアムのマイニングに必要な基本知識と今すぐコインを増やしておくべき理由 https://t.co/X9C5mT9nVf,37,18
845902027695702016,2017-03-26 07:35:34,Monero(モネロ)とは？価格・採掘・購入方法を徹底紹介！ https://t.co/8IrLPAp0sS,26,13
842940259226669056,2017-03-18 03:26:33,コインチェック(coincheck)でビットコインを購入する方法と仮想通貨の可能性 https://t.co/wh2e3ll8hw,31,16
837444550155108352,2017-03-02 23:28:34,ビットコインと外国為替証拠金取引（FX）の違いは？どっちが稼げるの？ https://t.co/ohgPPNNqmU,14,8
828149927138062336,2017-02-05 07:55:03,ビットコインを投資で増やしたい人はHYPE投資が一つの選択肢〜ライトライズ・イーサートレードなど〜 https://t.co/qmiGQSDnfV,14,9
807864275645497348,2016-12-11 08:27:07,ビットコインでFX取引が可能な取引所の手数料についての比較 https://t.co/b7ng82nKM2,17,9
790134063868682241,2016-10-23 10:13:35,仮想通貨のリップルコインを購入する方法と売買方法を徹底紹介 https://t.co/bHCuxC7Pdr,7,10
790117829479542784,2016-10-23 09:09:04,分散型台帳は第三者が関与することが有効的と発表 https://t.co/IuFXQUsocf,4,11
787392110139846657,2016-10-15 20:38:02,ビットコイン購入に消費税が免除になるかもしれない https://t.co/UI3MOfw8dT,12,12
758077830068523009,2016-07-26 23:13:33,ブロックチェーンの投資額が遂にビットコインを超えた【2016年上半期】 https://t.co/39fqCIHNGb,14,8
749643876860776448,2016-07-03 16:40:02,世界を変える可能性を持つブロックチェーン技術の活用サービス https://t.co/rc2D18M4SE,4,5
739278848500502528,2016-06-05 02:13:07,猿でも理解できるブロックチェーンの仕組みと革新的な技術 https://t.co/VIaSaaVUQs,14,7
727087088596733952,2016-05-02 10:47:25,BBCニュース - ビットコイン発明者、名乗り出る　豪の起業家 https://t.co/62SqwV9pTC,11,11
727040008712937472,2016-05-02 07:40:20,IBMが政府やヘルスケア業界向けのブロックチェーンクラウドサービスを発表https://t.co/ZX5Yfm6hXd,7,5
683216171517095937,2016-01-02 09:20:03,なぜブロックチェーンのマス市場への道のりは決済を超えるのか https://t.co/m5nuzmNjdB,2,5
675662270366621696,2015-12-12 13:03:33,ロシアはビットコインを禁止したいがブロックチェーンは始めたい https://t.co/QskRkoOYkn,3,4
670557542997708800,2015-11-28 10:59:11,RT @imakisyoji: 日本初の手に握れる実際のビットコイン「悟コイン（サトリコイン）」 https://t.co/xAPUzuBv1Y,0,3
670528441289080832,2015-11-28 09:03:32,日本初の手に握れる実際のビットコイン「悟コイン（サトリコイン）」 https://t.co/w7gC7HsMXL,3,6
668577271968628740,2015-11-22 23:50:17,ビットコイン法規制検討、テロ資金対策で急務　口座開設に本人確認 https://t.co/jP258HXZkC,3,4
663940077752455168,2015-11-10 04:43:44,ブロックチェーンは良い、ビットコインは悪い https://t.co/kq7SV4RFkj,1,4
661524994388680704,2015-11-03 12:47:03,金融業界はビットコインとブロックチェーンを取り込んでいるのか https://t.co/Gb4gyzxLqe,0,4
660793199590436864,2015-11-01 12:19:10,ライトコインとビットコインは何が違うのか？https://t.co/3V0xufbTeT,1,4
651839554006028288,2015-10-07 19:20:34,ブロックチェーンは良い、ビットコインは悪い http://t.co/kq7SV4RFkj,0,4
647290566636539904,2015-09-25 06:04:31,金融インフラをブロックチェーンで代替してコストを10分の1に、日本から「mijin」が登場http://t.co/Y90OsHPWm2#ビットコイン,3,1
647187265114927105,2015-09-24 23:14:02,ビットコインの紛争地域での可能性 http://t.co/Oexy2izxWE,1,3
646562169950236672,2015-09-23 05:50:08,ライトコインとビットコインは何が違うのか？http://t.co/3V0xufbTeT,2,3
646472844969381889,2015-09-22 23:55:11,Digital Goldの著者らと語るビットコインの現状と将来 http://t.co/X6ouvRarMz,4,7
643194076704018432,2015-09-13 22:46:32,ビットコインのメリット・デメリットなぜ利用するのか http://t.co/TKBQsccNsp,4,4
615307460006543360,2015-06-28 23:55:04,仮想通貨の両替を登録制に　政府検討  http://t.co/KAWqc4pf4C,3,4
614719891728388096,2015-06-27 09:00:17,ビットコイン、法規制へ議論再開　政府、テロ資金対策の一翼担う http://t.co/Lm5SJQVMCG,1,3
614267057429979136,2015-06-26 03:00:53,『Zaif Exchange』がビットコイン残高を年率最大3.6%で利殖できるサービスを開始 – 月間取引額は4億円以上に http://t.co/J9PkaPtamj,2,3
614225416581201920,2015-06-26 00:15:25,ようやく始まったビットコイン・ビジネスが生み出す可能性http://t.co/OHmLRsIfEe,2,5
613130722979782657,2015-06-22 23:45:30,セレスのポイントメディア「モッピー」にてマイクロペイメントサービス「moppy pay」を開始。 http://t.co/imJt28R0hc,1,5
612773277006733313,2015-06-22 00:05:08,サイモンフレーザー大学でビットコイン導入　カナダ国内大学で初の試み http://t.co/4jkFGRGzex,1,4
607745156679376896,2015-06-08 03:05:11,コインパス | ビットコインに見い出した貨幣問題の解 http://t.co/u1xU6NSi3s,2,4
605521784176279552,2015-06-01 23:50:18,1週間で1.5倍に値上がり！ 暗号通貨に何が起こっているのか？ http://t.co/WwG8sEG06v,0,5
604479910686666752,2015-05-30 02:50:16,BTCフラップ社は現在、市場価値の10％以上でビットコインを購入しています！ http://t.co/bfN051nKh6,2,2
604434624559894528,2015-05-29 23:50:19,再び注目を浴び始めたビットコイン--新興国で取引量が上昇する理由 http://t.co/BAICZkwo6k,0,3
601523510414966784,2015-05-21 23:02:35,itBit の銀行法憲章が真に意味するものとは http://t.co/PN2Avq43q2,1,3
600810740614885377,2015-05-19 23:50:17,スマホに搭載可能な「Bitcoinマイニングチップ」を開発したスタートアップ企業「21」とその戦略とは http://t.co/3tXiO8PoX3,1,3
599410226387881985,2015-05-16 03:05:09,増殖する次世代ビットコイン ユーロの再現狙うリップル http://t.co/jddtZ3xlpp,2,4
599367457971798016,2015-05-16 00:15:12,「ビットコイン・ベンチャーになるつもりはない」、コインパス仲津CEO語る http://t.co/Ht0rhrCLC6,0,2
598726961670844416,2015-05-14 05:50:06,米でビットコイン取引所に初の「銀行」免許 http://t.co/Jn4qxwyO1g,1,1
598276654474076160,2015-05-13 00:00:44,セレス、モッピーのポイントをビットコインに交換開始 http://t.co/lkgGGKqau7,2,2
598008561063571456,2015-05-12 06:15:26,ナスダック、ビットコイン技術を試験導入 未公開株市場で http://t.co/l4wLA1hboB,0,2
597958133609320448,2015-05-12 02:55:03,あのゴールドマンサックスがBitcoin関連のスタートアップ企業に投資したことが判明 http://t.co/yBlQjfX6TS,1,2
597911612276776961,2015-05-11 23:50:11,5月2日のモナーコインカンファレンスプレゼン資料共有（なぜビットコイン2.0は重要なのか） http://t.co/HQXA63HX2s,0,1
596102273555668992,2015-05-07 00:00:31,楽天も決済に導入。ビットコインの現状は？ http://t.co/wxveez9Vnh,0,1
595739948185165826,2015-05-06 00:00:46,アップルの創業者、スティーブ・ウォズニアックがビットコインスタートアップに参画 http://t.co/hfyi8a3rX5,1,1
595474654094970880,2015-05-05 06:26:35,ビットコインで寄付をして、ネパール地震被災者支援 http://t.co/ZDccp6dLvT,2,4
595089738001879040,2015-05-04 04:57:04,ビットコインをダーウィンの進化論に当てはめてみた http://t.co/3Boj6LEv4K,0,1
593199307928502272,2015-04-28 23:45:10,ビットコインが基軸通貨の代わりになれないワケ（近藤駿介　元ファンドマネージャー） http://t.co/mS8XrrwcGY,1,1
592523759019495426,2015-04-27 03:00:47,LinkedIn創業者リードホフマン「なぜ私がビットコインの未来に投資するのか」 http://t.co/TKhARIKtB6,0,1
592474535263350784,2015-04-26 23:45:11,リップルとビットコインは根本的に違うhttp://t.co/pj93zGITC1,0,1
591846623023599616,2015-04-25 06:10:05,ビットコインに走るギリシャ国民 http://t.co/TyQEF1Ano4,1,0
591156576901140480,2015-04-23 08:28:05,ヤフーの重役がRipple Lab（リップルラボ）の最高執行責任者に任命 http://t.co/NzgSGSgXWm,2,0
