id,created_at,text,fav,RT
952039266976018432,2018-01-13 04:47:03,BTCのdifficulty15％UP濃厚。マイナー側はBCH価格を釣り上げBCHへパワーを移していくのが経済合理性にかなう行動と私は思います。個人的には同枚数保持が基本ですが現在BTC:BCH=1:5（狂気）。ただ素直すぎる捉え… https://t.co/RIZFhL4tsi,90,28
951632173919956992,2018-01-12 01:49:25,もう一つアンケをさせて頂きます。全体的な年齢層を知りたいので、上から順に見て最初に当てはまるものにポチってください。,38,31
951626024973815808,2018-01-12 01:24:59,いまの貴方の見方はどれに近いですか？投票期間(今から3時間)参考:おおよその現在値BTC 161万円ETH 13.8万円XRP 230円XEM 145円LSK 3000円LTC 2.8万円BCH 29.8万円,36,22
951616880069849090,2018-01-12 00:48:39,【相場格言】他人が絶望して売っている時に買い、他人が貪欲に買っている時に売るのは、強靭な精神力が必要だけれども、最後には最高の報いが得られる - Lauren C Templeton,152,35
951430253594820609,2018-01-11 12:27:03,今年も $ETH $XEM をはじめとするプラットフォーム系に期待。なおビットコイン系ですが $BTC $BCH 同枚数保有から現在は短期目線で $BCH へポジションを大幅に傾けています。（難易度調整 、ビットコインキャンディー… https://t.co/E2Xb9c2ukU,97,30
951385669678481408,2018-01-11 09:29:54,中国でマイニング規制？韓国取引所閉鎖？という懸念でやや下落相場でしたが、そろそろ反応しきりそうです。一方国内では実需面の良いニュースも幾つか。こういうメルカリなど少額決済ではBTCだとマイクロペイメントに不向きなので、それに適した… https://t.co/mxMxSZmxYK,38,10
951105062490664965,2018-01-10 14:54:52,XRPが400円タッチで活気づいたホルダーが急に見方をかえETHに鞍替えしたり、XRPガチホを連呼したりする人も。短期勝負かけている人は別ですが、基本的に価格に一喜一憂するのはポジション過多なのでは？一点集中や偏りすぎはギャンブル… https://t.co/NAwEX2Xihd,102,12
950881506905354240,2018-01-10 00:06:32,JP ダイモン氏『ビットコイン詐欺発言を「後悔」している』。 ここにきて掌を返しましたね。投資銀行の利益構造や、彼の立場を考え、額面通りではなくなぜその発言が出るか？真意を考える必要があります。詐欺と言われBTC急落後30万円割り… https://t.co/mxQit5LVy9,69,24
950385563999219712,2018-01-08 15:15:50,"全体的に調整局面ですね～。こういう下落局面の時は、トレンドよりも大きく下げた際の小さな反発（デッドキャット）を狙うのも一つの手です(^^) zaifで今1,808,520円で信用Longをエントリーしました。トレンド線まで戻したらクローズします。",51,3
950301315967598593,2018-01-08 09:41:04,【朗報】朗報2連発目。バイナンスも新規受付再開。https://t.co/6I8rOoM0X7,40,8
950290620148432897,2018-01-08 08:58:34,【朗報】coinexchangeの新規受付再開しています。https://t.co/sPJHLRMhO4,55,16
950225876607619072,2018-01-08 04:41:17,"【祝】イーサリアム150,000円突破！3日前にtweetした通り $XEM や $XRP の短期調整局面から $ETH へ資金流入が起こりました。ちなみに、現在注目しているcoinexchange銘柄 $SPRTS ですがブレ… https://t.co/LWCpZxxroi",119,38
950174085148958721,2018-01-08 01:15:29,RT @guraburun001: もやしコイン Sprouts $SPRTS  日本非公式コミュあります　よかったら参加してね https://t.co/0Zp2OfyTvi,0,11
949872476200185856,2018-01-07 05:17:00,$SPRTS のチャート的な見解。通常こういう相場は盛り上がった後、抜けるのも早いです。しかし仮想通貨の凄いところは、盛り上がっても今のところ資金が抜けていく様子がないのですｗ盛り上がりが呼び水となってさらに人が来るのですｗ… https://t.co/Ub0JOhvYBk,70,25
